query_id,query,query_type,source_caption_snippet
1,hat with text mastersunion,apparel_brand,"Two men stand side-by-side in athletic wear at an indoor venue, posing in front of a backdrop featuring the text 'MASTERS UNION' and 'CLASS OF HYROX '26' beneat"
2,people wearing mastersunion hat,apparel_brand,"Two men stand side-by-side in athletic wear at an indoor venue, posing in front of a backdrop featuring the text 'MASTERS UNION' and 'CLASS OF HYROX '26' beneat"
3,matching mastersunion hat,apparel_brand,"Two men stand side-by-side in athletic wear at an indoor venue, posing in front of a backdrop featuring the text 'MASTERS UNION' and 'CLASS OF HYROX '26' beneat"
4,hat with text hyrox,apparel_brand,"Two men stand side-by-side in athletic wear at an indoor venue, posing in front of a backdrop featuring the text 'MASTERS UNION' and 'CLASS OF HYROX '26' beneat"
5,people wearing hyrox hat,apparel_brand,"Two men stand side-by-side in athletic wear at an indoor venue, posing in front of a backdrop featuring the text 'MASTERS UNION' and 'CLASS OF HYROX '26' beneat"
6,matching hyrox hat,apparel_brand,"Two men stand side-by-side in athletic wear at an indoor venue, posing in front of a backdrop featuring the text 'MASTERS UNION' and 'CLASS OF HYROX '26' beneat"
7,shorts with text mastersunion,apparel_brand,"A woman in an orange top and black shorts jogs on an indoor track underneath a large ""masters' union HYROX DELHI"" sign."
8,people wearing mastersunion shorts,apparel_brand,"A woman in an orange top and black shorts jogs on an indoor track underneath a large ""masters' union HYROX DELHI"" sign."
9,matching mastersunion shorts,apparel_brand,"A woman in an orange top and black shorts jogs on an indoor track underneath a large ""masters' union HYROX DELHI"" sign."
10,shorts with text hyrox,apparel_brand,"A woman in an orange top and black shorts jogs on an indoor track underneath a large ""masters' union HYROX DELHI"" sign."
11,people wearing hyrox shorts,apparel_brand,"A woman in an orange top and black shorts jogs on an indoor track underneath a large ""masters' union HYROX DELHI"" sign."
12,matching hyrox shorts,apparel_brand,"A woman in an orange top and black shorts jogs on an indoor track underneath a large ""masters' union HYROX DELHI"" sign."
13,jacket with text mastersunion,apparel_brand,"A man in a black jacket sits in a grey armchair holding a document, with text reading ""MASTERS' UNION"" visible in the top right corner."
14,people wearing mastersunion jacket,apparel_brand,"A man in a black jacket sits in a grey armchair holding a document, with text reading ""MASTERS' UNION"" visible in the top right corner."
